race,gender,date,zip,income,type,term,interest,principal,approved,adj_bls_2,id
hispanic/latino,male,2016-01-01,60623.0,72230.0,home,180,3.3896718621455433,508761,False,0.34,AP20161-0-2
other,male,2013-03-01,60625.0,18543.0,home,360,0.27731822047729915,119738,False,0.14,AP20133-1-23
other,male,2011-11-01,60623.0,30228.0,home,240,4.398938657265168,265779,False,0.08,AP201111-2-22
hispanic/latino,male,2014-08-01,60623.0,11129.0,personal,60,5.221934703063604,15590,True,0.09,AP20148-1-29
black,female,2016-11-01,60637.0,,personal,60,10.843706706486438,56301,True,0.41,AP201611-0-38
other,male,2011-09-01,60623.0,53922.0,home,240,0.1589568895506805,350875,False,0.08,AP20119-0-46
hispanic/latino,male,2016-09-01,60625.0,12567.0,auto,60,6.366048173456862,18386,True,0.4,AP20169-3-24
white,female,2013-12-01,60615.0,10785.0,auto,72,3.383851656325527,14776,False,0.09,AP201312-1-63
hispanic/latino,male,2013-05-01,60625.0,81452.0,home,240,4.415058726789047,500600,True,0.11,AP20135-0-47
black,male,2018-08-01,60637.0,46070.0,personal,18,17.87996107500589,48206,True,1.91,AP20188-1-37
hispanic/latino,female,2017-10-01,60625.0,109872.0,auto,84,4.67383746666477,20056,True,1.15,AP201710-2-37
white,female,2015-12-01,60614.0,,auto,60,6.692867587762706,72636,True,0.24,AP201512-2-12
black,female,2013-09-01,60637.0,44947.0,home,360,0.6568748322453811,292027,False,0.08,AP20139-3-11
white,female,2018-04-01,60611.0,303014.0,home,360,5.06510953574722,1910578,True,1.69,AP20184-0-6
white,male,2012-08-01,60614.0,300200.0,auto,72,5.533825127771013,87638,True,0.13,AP20128-2-64
black,female,2013-03-01,60615.0,6238.0,auto,60,5.486643681261257,13827,False,0.14,AP20133-3-43
hispanic/latino,female,2016-01-01,60625.0,29667.0,auto,60,4.091500100273987,10852,True,0.34,AP20161-1-17
black,male,2018-12-01,60615.0,116963.0,auto,72,8.675490941609073,136231,False,2.27,AP201812-2-16
other,female,2011-10-01,60625.0,10278.0,auto,72,5.351267949409467,13752,True,0.07,AP201110-1-8
black,female,2018-12-01,60615.0,,auto,60,6.6151217882606606,24538,True,2.27,AP201812-0-18
hispanic/latino,male,2016-11-01,60625.0,155551.0,home,180,2.7869313297061162,1216067,False,0.41,AP201611-3-48
white,female,2015-06-01,60614.0,,auto,72,5.7491694048578115,69309,True,0.13,AP20156-3-96
hispanic/latino,female,2017-06-01,60623.0,,personal,18,10.013265108219233,5405,False,1.04,AP20176-3-69
black,male,2016-10-01,60615.0,65277.0,home,300,6.050125673359876,484733,False,0.4,AP201610-1-41
white,female,2018-12-01,,10876.0,home,300,2.99732338887603,94684,False,2.27,AP201812-1-88
white,female,2016-08-01,60614.0,,auto,72,6.20382243489828,42257,True,0.4,AP20168-2-41
black,female,2014-06-01,60637.0,31124.0,auto,60,5.370937374138615,34634,False,0.1,AP20146-1-37
white,male,2018-05-01,60611.0,171927.0,auto,84,6.561888871767944,101036,True,1.7,AP20185-0-8
white,male,2013-04-01,60625.0,119102.0,home,300,7.299843126495291,759201,True,0.15,AP20134-1-94
white,male,2016-01-01,60625.0,34480.0,personal,48,7.1974863762108345,44361,True,0.34,AP20161-0-27
black,female,2018-05-01,,105788.0,home,300,6.3987997519943525,689685,True,1.7,AP20185-2-41
other,male,2016-07-01,60637.0,115622.0,home,180,2.072444438028263,667291,False,0.39,AP20167-3-91
black,female,2018-03-01,60637.0,48410.0,personal,60,9.575622786556348,36997,False,1.51,AP20183-0-67
white,male,2017-02-01,60625.0,29202.0,personal,24,7.834421742269634,6121,False,0.66,AP20172-2-37
asian,male,2017-05-01,60625.0,102189.0,auto,84,5.632411348292824,39286,True,0.91,AP20175-2-26
black,male,2016-08-01,60623.0,34656.0,auto,72,3.903888539373576,41575,False,0.4,AP20168-3-57
white,male,2017-06-01,60611.0,,auto,72,8.074454053139373,16261,True,1.04,AP20176-0-85
white,male,2015-08-01,60625.0,25732.0,home,300,3.61794921510391,170350,True,0.14,AP20158-1-18
white,male,2016-08-01,60625.0,38268.0,auto,72,6.391393112582228,30109,True,0.4,AP20168-1-23
black,male,2016-07-01,60637.0,44646.0,personal,60,6.973099070694939,74510,True,0.39,AP20167-3-89
white,male,2014-08-01,60625.0,201502.0,home,300,6.400713666039785,1474116,True,0.09,AP20148-3-43
white,male,2017-07-01,60625.0,92464.0,home,360,2.1836898137443455,564246,True,1.15,AP20177-1-47
white,female,2012-06-01,60614.0,,personal,60,9.948783026118386,116096,True,0.16,AP20126-2-23
hispanic/latino,female,2011-11-01,60615.0,26005.0,auto,72,5.2941419216264025,8293,False,0.08,AP201111-1-77
Hispanic/latino,female,2013-03-01,60625.0,,personal,24,14.79188196123002,28258,True,0.14,AP20133-1-92
white,female,2017-05-01,60615.0,16688.0,home,300,2.4344535297278216,97044,False,0.91,AP20175-0-70
black,female,2017-11-01,60615.0,56584.0,home,180,3.4485028321312097,400865,False,1.16,AP201711-1-22
hispanic/latino,male,2013-05-01,60623.0,2215.0,home,360,2.962975275771619,17911,False,0.11,AP20135-1-83
other,male,2013-03-01,60626.0,10401.0,personal,24,8.62276342572644,13066,True,0.14,AP20133-0-76
Black,female,2015-03-01,60637.0,55635.0,personal,12,13.146387886093692,55518,True,0.11,AP20153-3-19
white,female,2013-09-01,60614.0,,home,300,5.347309920300647,461652,True,0.08,AP20139-2-58
hispanic/latino,male,2016-02-01,60623.0,16466.0,personal,24,14.13514814171914,70,False,0.38,AP20162-1-73
white,male,2018-03-01,60625.0,56256.0,auto,84,6.155728472251118,463,False,1.51,AP20183-3-18
other,female,2017-11-01,60614.0,93705.0,home,300,1.6730970269411436,583592,True,1.16,AP201711-0-31
