race,gender,date,zip,income,type,term,interest,principal,approved,adj_bls_2,id
Hispanic/Latino,Male,2016-01-01,60623.0,72230.0,Home,180,3.3896718621455437,508761,False,0.34,0
Other,Male,2013-03-01,60625.0,18543.0,Home,360,0.2773182204772991,119738,False,0.14,1
Other,Male,2011-11-01,60623.0,30228.0,Home,240,4.398938657265168,265779,False,0.08,2
Hispanic/Latino,Male,2014-08-01,60623.0,11129.0,Personal,60,5.221934703063604,15590,True,0.09,3
Black,Female,2016-11-01,60637.0,56698.678468899525,Personal,60,10.843706706486438,56301,True,0.41,4
Other,Male,2011-09-01,60623.0,53922.0,Home,240,0.1589568895506805,350875,False,0.08,5
Hispanic/Latino,Male,2016-09-01,60625.0,12567.0,Auto,60,6.366048173456862,18386,True,0.4,6
White,Female,2013-12-01,60615.0,10785.0,Auto,72,3.383851656325527,14776,False,0.09,7
Hispanic/Latino,Male,2013-05-01,60625.0,81452.0,Home,240,4.415058726789047,500600,True,0.11,8
Black,Male,2018-08-01,60637.0,46070.0,Personal,18,17.87996107500589,48206,True,1.91,9
Hispanic/Latino,Female,2017-10-01,60625.0,109872.0,Auto,84,4.67383746666477,20056,True,1.15,10
White,Female,2015-12-01,60614.0,56698.678468899525,Auto,60,6.692867587762706,72636,True,0.24,11
Black,Female,2013-09-01,60637.0,44947.0,Home,360,0.6568748322453811,292027,False,0.08,12
White,Female,2018-04-01,60611.0,303014.0,Home,360,5.06510953574722,1910578,True,1.69,13
White,Male,2012-08-01,60614.0,300200.0,Auto,72,5.533825127771013,87638,True,0.13,14
Black,Female,2013-03-01,60615.0,6238.0,Auto,60,5.486643681261257,13827,False,0.14,15
Hispanic/Latino,Female,2016-01-01,60625.0,29667.0,Auto,60,4.091500100273987,10852,True,0.34,16
Black,Male,2018-12-01,60615.0,116963.0,Auto,72,8.675490941609073,136231,False,2.27,17
Other,Female,2011-10-01,60625.0,10278.0,Auto,72,5.351267949409467,13752,True,0.07,18
Black,Female,2018-12-01,60615.0,56698.678468899525,Auto,60,6.6151217882606606,24538,True,2.27,19
Hispanic/Latino,Male,2016-11-01,60625.0,155551.0,Home,180,2.786931329706116,1216067,False,0.41,20
White,Female,2015-06-01,60614.0,56698.678468899525,Auto,72,5.749169404857812,69309,True,0.13,21
Hispanic/Latino,Female,2017-06-01,60623.0,56698.678468899525,Personal,18,10.013265108219231,5405,False,1.04,22
Black,Male,2016-10-01,60615.0,65277.0,Home,300,6.050125673359876,484733,False,0.4,23
White,Female,2018-12-01,60622.153968253966,10876.0,Home,300,2.99732338887603,94684,False,2.27,24
White,Female,2016-08-01,60614.0,56698.678468899525,Auto,72,6.20382243489828,42257,True,0.4,25
Black,Female,2014-06-01,60637.0,31124.0,Auto,60,5.370937374138615,34634,False,0.1,26
White,Male,2018-05-01,60611.0,171927.0,Auto,84,6.561888871767944,101036,True,1.7,27
White,Male,2013-04-01,60625.0,119102.0,Home,300,7.299843126495291,759201,True,0.15,28
White,Male,2016-01-01,60625.0,34480.0,Personal,48,7.1974863762108345,44361,True,0.34,29
Black,Female,2018-05-01,60622.153968253966,105788.0,Home,300,6.3987997519943525,689685,True,1.7,30
Other,Male,2016-07-01,60637.0,115622.0,Home,180,2.072444438028263,667291,False,0.39,31
Black,Female,2018-03-01,60637.0,48410.0,Personal,60,9.575622786556348,36997,False,1.51,32
White,Male,2017-02-01,60625.0,29202.0,Personal,24,7.834421742269634,6121,False,0.66,33
Asian,Male,2017-05-01,60625.0,102189.0,Auto,84,5.632411348292824,39286,True,0.91,34
Black,Male,2016-08-01,60623.0,34656.0,Auto,72,3.903888539373576,41575,False,0.4,35
White,Male,2017-06-01,60611.0,56698.678468899525,Auto,72,8.074454053139373,16261,True,1.04,36
White,Male,2015-08-01,60625.0,25732.0,Home,300,3.61794921510391,170350,True,0.14,37
White,Male,2016-08-01,60625.0,38268.0,Auto,72,6.391393112582228,30109,True,0.4,38
Black,Male,2016-07-01,60637.0,44646.0,Personal,60,6.973099070694939,74510,True,0.39,39
White,Male,2014-08-01,60625.0,201502.0,Home,300,6.400713666039785,1474116,True,0.09,40
White,Male,2017-07-01,60625.0,92464.0,Home,360,2.183689813744345,564246,True,1.15,41
White,Female,2012-06-01,60614.0,56698.678468899525,Personal,60,9.948783026118386,116096,True,0.16,42
Hispanic/Latino,Female,2011-11-01,60615.0,26005.0,Auto,72,5.2941419216264025,8293,False,0.08,43
Hispanic/Latino,Female,2013-03-01,60625.0,56698.678468899525,Personal,24,14.79188196123002,28258,True,0.14,44
